,Pheno.MimNumber,value,Tissue,Disease,Gene Symbols,Gene.MimNumber,Cyto Location,Gtex_Tissue
0,100800,8.84,Pituitary,ACHONDROPLASIA; ACH,"FGFR3, ACH",134934,4p16.3,Pituitary
1,100800,34.12,spinal cord,ACHONDROPLASIA; ACH,"FGFR3, ACH",134934,4p16.3,Brain
2,101000,8.36,adrenal gland,"NEUROFIBROMATOSIS, TYPE II; NF2",NF2,607379,22q12.2,Adrenal Gland
3,101000,10.11,spinal cord,"NEUROFIBROMATOSIS, TYPE II; NF2",NF2,607379,22q12.2,Brain
4,101000,19.0,skin,"NEUROFIBROMATOSIS, TYPE II; NF2",NF2,607379,22q12.2,Skin
5,101200,18.6,Heart,APERT SYNDROME,"FGFR2, BEK, CFD1, JWS, TK14, BBDS",176943,10q26.13,Heart
6,101200,9.43,trachea,APERT SYNDROME,"FGFR2, BEK, CFD1, JWS, TK14, BBDS",176943,10q26.13,
7,101200,9.53,skin,APERT SYNDROME,"FGFR2, BEK, CFD1, JWS, TK14, BBDS",176943,10q26.13,Skin
8,101900,8.87,Pons,ACROKERATOSIS VERRUCIFORMIS; AKV,"ATP2A2, ATP2B, DAR",108740,12q24.11,Brain
9,101900,12.8,skin,ACROKERATOSIS VERRUCIFORMIS; AKV,"ATP2A2, ATP2B, DAR",108740,12q24.11,Skin
10,101900,8.86,Heart,ACROKERATOSIS VERRUCIFORMIS; AKV,"ATP2A2, ATP2B, DAR",108740,12q24.11,Heart
11,101900,17.01,Liver,ACROKERATOSIS VERRUCIFORMIS; AKV,"ATP2A2, ATP2B, DAR",108740,12q24.11,Liver
12,102700,21.27,B cells,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",ADA,608958,20q13.12,Blood
13,102700,8.66,bone marrow CD34,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",ADA,608958,20q13.12,Bone Marrow
14,102700,20.47,bone marrow,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",ADA,608958,20q13.12,Bone Marrow
15,102700,11.71,thymus,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",ADA,608958,20q13.12,
16,102700,9.12,NK Cells,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",ADA,608958,20q13.12,Blood
17,102900,10.36,Pancreatic Islets,"ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","PKLR, PK1",609712,1q22,Pancreas
18,102900,12.61,Skeletal Muscle,"ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","PKLR, PK1",609712,1q22,Muscle
19,102900,10.63,Heart,"ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","PKLR, PK1",609712,1q22,Heart
20,103050,9.74,Whole Brain,ADENYLOSUCCINASE DEFICIENCY; ADSLD,ADSL,608222,22q13.1,Brain
21,103050,12.06,fetal liver,ADENYLOSUCCINASE DEFICIENCY; ADSLD,ADSL,608222,22q13.1,
22,103050,8.7,kidney,ADENYLOSUCCINASE DEFICIENCY; ADSLD,ADSL,608222,22q13.1,Kidney
23,103050,13.02,cerebellum,ADENYLOSUCCINASE DEFICIENCY; ADSLD,ADSL,608222,22q13.1,Brain
24,103050,11.48,Skeletal Muscle,ADENYLOSUCCINASE DEFICIENCY; ADSLD,ADSL,608222,22q13.1,Muscle
25,103050,10.05,Ovary,ADENYLOSUCCINASE DEFICIENCY; ADSLD,ADSL,608222,22q13.1,Ovary
26,103050,9.49,Liver,ADENYLOSUCCINASE DEFICIENCY; ADSLD,ADSL,608222,22q13.1,Liver
27,103470,38.83,skin,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS","TYR, SHEP3, CMM8, OCA1A, ATN",606933,11q14.3,Skin
28,103470,38.83,skin,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS","MITF, WS2A, CMM8, COMMAD",156845,3p13,Skin
29,103470,11.68,Occipital Lobe,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS","TYR, SHEP3, CMM8, OCA1A, ATN",606933,11q14.3,Brain
30,103470,11.68,Occipital Lobe,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS","MITF, WS2A, CMM8, COMMAD",156845,3p13,Brain
31,103500,20.38,bone marrow,TIETZ ALBINISM-DEAFNESS SYNDROME; TADS,"MITF, WS2A, CMM8, COMMAD",156845,3p13,Bone Marrow
32,103500,12.08,skin,TIETZ ALBINISM-DEAFNESS SYNDROME; TADS,"MITF, WS2A, CMM8, COMMAD",156845,3p13,Skin
33,103500,50.5,Whole Brain,TIETZ ALBINISM-DEAFNESS SYNDROME; TADS,"MITF, WS2A, CMM8, COMMAD",156845,3p13,Brain
34,103500,8.01,fetal brain,TIETZ ALBINISM-DEAFNESS SYNDROME; TADS,"MITF, WS2A, CMM8, COMMAD",156845,3p13,
35,103500,9.03,Heart,TIETZ ALBINISM-DEAFNESS SYNDROME; TADS,"MITF, WS2A, CMM8, COMMAD",156845,3p13,Heart
36,103580,23.02,Thyroid,"PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A","GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C, PITA3",139320,20q13.32,Thyroid
37,103580,19.64,kidney,"PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A","GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C, PITA3",139320,20q13.32,Kidney
38,103580,11.22,Pituitary,"PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A","GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C, PITA3",139320,20q13.32,Pituitary
39,103900,12.14,kidney,"HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1","CYP11B1, P450C11, FHI",610613,8q24.3,Kidney
40,103900,38.25,adrenal gland,"HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1","CYP11B1, P450C11, FHI",610613,8q24.3,Adrenal Gland
41,103900,34.13,Adrenal Cortex,"HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1","CYP11B1, P450C11, FHI",610613,8q24.3,Adrenal Gland
42,104300,23.12,Temporal Lobe,ALZHEIMER DISEASE; AD,"APP, AAA, CVAP, AD1",104760,21q21.3,Brain
43,104300,23.12,Temporal Lobe,ALZHEIMER DISEASE; AD,NOS3,163729,7q36.1,Brain
44,104300,23.12,Temporal Lobe,ALZHEIMER DISEASE; AD,"PLAU, URK, QPD, BDPLT5",191840,10q22.2,Brain
45,104300,23.12,Temporal Lobe,ALZHEIMER DISEASE; AD,"A2M , A2MD",103950,12p13.31,Brain
46,104300,23.12,Temporal Lobe,ALZHEIMER DISEASE; AD,"HFE, HLA-H, HFE1, MVCD7, TFQTL2",613609,6p22.2,Brain
47,104300,23.12,Temporal Lobe,ALZHEIMER DISEASE; AD,MPO,606989,17q22,Brain
48,104300,8.14,Amygdala,ALZHEIMER DISEASE; AD,"APP, AAA, CVAP, AD1",104760,21q21.3,Brain
49,104300,8.14,Amygdala,ALZHEIMER DISEASE; AD,NOS3,163729,7q36.1,Brain
50,104300,8.14,Amygdala,ALZHEIMER DISEASE; AD,"PLAU, URK, QPD, BDPLT5",191840,10q22.2,Brain
51,104300,8.14,Amygdala,ALZHEIMER DISEASE; AD,"A2M , A2MD",103950,12p13.31,Brain
52,104300,8.14,Amygdala,ALZHEIMER DISEASE; AD,"HFE, HLA-H, HFE1, MVCD7, TFQTL2",613609,6p22.2,Brain
53,104300,8.14,Amygdala,ALZHEIMER DISEASE; AD,MPO,606989,17q22,Brain
54,104310,23.39,Temporal Lobe,ALZHEIMER DISEASE 2; AD2,"APOE, AD2, LPG, LDLCQ5",107741,19q13.32,Brain
55,104310,8.2,Amygdala,ALZHEIMER DISEASE 2; AD2,"APOE, AD2, LPG, LDLCQ5",107741,19q13.32,Brain
56,105120,18.76,kidney,"AMYLOIDOSIS, FINNISH TYPE",GSN,137350,9q33.2,Kidney
57,105120,8.2,Liver,"AMYLOIDOSIS, FINNISH TYPE",GSN,137350,9q33.2,Liver
58,105200,18.76,kidney,"AMYLOIDOSIS, FAMILIAL VISCERAL","B2M, IMD43",109700,15q21.1,Kidney
59,105200,18.76,kidney,"AMYLOIDOSIS, FAMILIAL VISCERAL",APOA1,107680,11q23.3,Kidney
60,105200,18.76,kidney,"AMYLOIDOSIS, FAMILIAL VISCERAL",FGA,134820,4q31.3,Kidney
61,105200,18.76,kidney,"AMYLOIDOSIS, FAMILIAL VISCERAL",LYZ,153450,12q15,Kidney
62,105200,8.2,Liver,"AMYLOIDOSIS, FAMILIAL VISCERAL","B2M, IMD43",109700,15q21.1,Liver
63,105200,8.2,Liver,"AMYLOIDOSIS, FAMILIAL VISCERAL",APOA1,107680,11q23.3,Liver
64,105200,8.2,Liver,"AMYLOIDOSIS, FAMILIAL VISCERAL",FGA,134820,4q31.3,Liver
65,105200,8.2,Liver,"AMYLOIDOSIS, FAMILIAL VISCERAL",LYZ,153450,12q15,Liver
